Designator,Order,Quantity,Notes,DrawnBy,CheckedBy,NormInspection,ApprovedBy,InvNumber,DecimalNumber,Title
"R28","Резистор Р1-12М-0805-0-А-М-АБШК.434110.023 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R29","Резистор Р1-12М-0805-0-А-М-АБШК.434110.023 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R30","Резистор Р1-12-0,125-1 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R31","Резистор Р1-12-0,125-10 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R32","Резистор Р1-12-0,125-10 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R33","Резистор Р1-12-0,125-10 кОм ±1% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R34","Резистор Р1-12-0,125-5,1 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R35","Резистор Р1-12-0,125-100 Ом ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VD1","Диод PMEG4010ER Nexperia","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VD2","Диод 1N4148W Vishay","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VD3","Диод 1N4148W Vishay","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VD4","Диод 1N4148W Vishay","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VD5","Диод 1N4148W Vishay","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VD6","Диод 1N4148W Vishay","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VD7","Диод PMEG4010ER Nexperia","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VD9","Светодиод AP3216CGCK Kingbright","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VD10","Светодиод AP3216SURCK Kingbright","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VT1","VO617A3X017T Vishay","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VT2","VO617A3X017T Vishay","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VT3","VO617A3X017T Vishay","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VT4","VO617A3X017T Vishay","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VT5","Транзистор SQ2364EES-T1_GE3 Vishay","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"VT6","Транзистор SQ2364EES-T1_GE3 Vishay","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"XP1","Вилка DS1013-10SSiB1-B-0  Connfly","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"XP2","Вилка ГРПМ1-31ШУ-2 Ке0.364.006 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"XP3","Вилка DS1013-10SSiB1-B-0  Connfly","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
